Date,High,Vol.,Low,Price,Chg. %,Open,
21/11/2020,18966.0,133.24K,18467.5,18623.5,-0.28%,18673.8,
20/11/2020,18811.0,134.42K,17758.4,18675.2,4.90%,17805.5,
19/11/2020,18166.0,135.94K,17380.1,17803.5,0.16%,17775.1,
18/11/2020,18466.1,233.43K,17258.9,17774.6,0.64%,17662.3,
17/11/2020,17845.4,175.87K,16562.0,17662.3,5.66%,16715.8,
16/11/2020,16880.7,118.09K,15870.7,16715.8,4.78%,15954.1,
15/11/2020,16158.1,58.43K,15782.3,15953.0,-0.73%,16074.7,
14/11/2020,16328.2,83.64K,15717.7,16071.0,-1.55%,16323.1,
13/11/2020,16474.1,113.75K,15973.4,16324.2,0.18%,16293.0,
12/11/2020,16342.7,165.54K,15483.5,16294.7,3.82%,15695.8,
11/11/2020,15953.9,119.07K,15281.0,15695.8,2.56%,15303.1,
10/11/2020,15465.3,93.36K,15096.5,15303.6,-0.15%,15328.0,
09/11/2020,15819.6,165.04K,14816.9,15327.2,-1.01%,15483.3,
08/11/2020,15648.3,94.99K,14720.7,15483.7,4.42%,14826.6,
07/11/2020,15754.4,160.73K,14385.1,14828.4,-4.81%,15578.2,
06/11/2020,15955.2,186.13K,15223.5,15577.9,-0.06%,15593.9,
05/11/2020,15739.9,227.49K,14099.7,15587.1,10.19%,14145.6,
04/11/2020,14238.8,140.80K,13544.4,14145.6,0.90%,14023.0,
03/11/2020,14054.0,108.17K,13294.6,14019.9,3.38%,13560.5,
02/11/2020,13828.4,97.76K,13214.2,13561.4,-1.44%,13759.7,
01/11/2020,13889.5,51.71K,13628.7,13759.4,-0.27%,13795.5,
31/10/2020,14065.4,102.75K,13441.7,13797.3,1.75%,13560.2,
30/10/2020,13667.9,108.77K,13134.5,13559.9,0.76%,13457.0,
29/10/2020,13640.0,111.23K,12982.9,13457.2,1.34%,13278.3,
28/10/2020,13851.7,144.18K,12907.6,13278.9,-2.77%,13658.3,
27/10/2020,13782.3,128.64K,13050.3,13657.8,4.56%,13061.5,
26/10/2020,13229.7,89.47K,12792.4,13061.6,0.23%,13033.0,
25/10/2020,13345.3,59.73K,12900.4,13032.2,-0.65%,13117.0,
24/10/2020,13161.5,51.20K,12876.4,13117.2,1.42%,12933.6,
23/10/2020,13025.5,73.94K,12738.9,12934.1,-0.31%,12972.7,
22/10/2020,13183.9,113.31K,12698.2,12974.6,1.30%,12805.5,
Open:12805.5,Highest:18966.0,Lowest:12698.2,Chg. %:45.40%,
