"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
04/21/2020 21:56:45,Receive,,0.00000103,BTC,...,Coinbase - BTC Wallet,,Mined,Received Bitcoin From Bling Financial,,,...,,,,,,,...,
05/01/2020 22:32:53,Receive,,0.00000423,BTC,...,Coinbase - BTC Wallet,,Mined,Received Bitcoin From Bling Financial,,,...,,,,,,,...,
07/02/2020 08:05:38,Receive,,0.00000248,BTC,...,Coinbase - BTC Wallet,,Mined,Received Bitcoin From Bling Financial,,,...,,,,,,,...,
07/09/2020 04:15:30,Receive,,0.00000001,ETH,...,Coinbase - ETH Wallet,,Mined,Received Ethereum From Vweeter Limited,,,...,,,,,,,...,
07/10/2020 11:15:45,Receive,,0.00000227,BTC,...,Coinbase - BTC Wallet,,Mined,Received Bitcoin From Bling Financial,,,...,,,,,,,...,
08/04/2020 09:52:16,Send,,,,...,,,,,0.00001001,BTC,...,Coinbase - BTC Wallet,,,Transferred Bitcoin To Coinbase Pro,,,...,
08/06/2020 02:08:14,Buy,,0.00158215,BTC,...,Coinbase - BTC Wallet,,,Bought Bitcoin Using 4342********9640,20.00,USD,...,Coinbase - Cash (USD),,,Bought Bitcoin Using 4342********9640,1.49,USD,...,
08/06/2020 03:04:06,Trade,,0.02463933,ETH,...,Coinbase - ETH Wallet,,,Converted to Ethereum Using BTC Wallet,0.00085600,BTC,...,Coinbase - BTC Wallet,,,Converted to Ethereum Using BTC Wallet,,,...,
08/06/2020 03:10:14,Send,,,,...,,,,,0.00072615,BTC,...,Coinbase - BTC Wallet,,,Transferred Bitcoin To Coinbase Pro,,,...,
08/06/2020 03:11:09,Send,,,,...,,,,,0.02463934,ETH,...,Coinbase - ETH Wallet,,,Transferred Ethereum To Coinbase Pro,,,...,
08/09/2020 04:07:32,Receive,,0.02409950,ETH,...,Coinbase - ETH Wallet,,Mined,Transferred Ethereum From Coinbase Pro,,,...,,,,,,,...,
08/09/2020 04:08:13,Receive,,0.00021045,ETH,...,Coinbase - ETH Wallet,,Mined,Transferred Ethereum From Coinbase Pro,,,...,,,,,,,...,
08/09/2020 04:10:05,Receive,,0.05,USD,...,Coinbase - Cash (USD),,,Transferred funds From Coinbase Pro,,,...,,,,,,,...,
08/09/2020 04:12:06,Receive,,0.00073616,BTC,...,Coinbase - BTC Wallet,,Mined,Transferred Bitcoin From Coinbase Pro,,,...,,,,,,,...,
08/09/2020 04:18:24,Trade,,7.60572600,USDC,...,Coinbase - USDC Wallet,,,Converted to USD Coin Using BTC Wallet,0.00073616,BTC,...,Coinbase - BTC Wallet,,,Converted to USD Coin Using BTC Wallet,0.99000000,USDC,...,
08/09/2020 04:20:18,Sell,,7.00,USD,...,Coinbase - Cash (USD),,,Sold USD Coin Using Cash (USD),7.00000000,USDC,...,Coinbase - USDC Wallet,,,Sold USD Coin Using Cash (USD),,,...,
08/09/2020 04:35:54,Sell,,8.56,USD,...,Coinbase - Cash (USD),,,Sold Ethereum Using Cash (USD),0.02430995,ETH,...,Coinbase - ETH Wallet,,,Sold Ethereum Using Cash (USD),0.99,USD,...,
08/10/2020 05:49:56,Send,,,,...,,,,,15.61,USD,...,Coinbase - Cash (USD),,,Withdrew funds To Wells Fargo - Wells Fa... ******0023,,,...,
10/28/2020 06:54:02,Send,,,,...,,,,,0.60572600,USDC,...,Coinbase - USDC Wallet,0x22400Aab42210Ed841dF949C1F07F7B831B7A452,,Sent USD Coin To USD Coin address,0.27982300,USDC,...,
10/29/2020 14:44:05,Receive,,0.00000001,BTC,...,Coinbase - BTC Wallet,,Mined,Received Bitcoin From ECMF,,,...,,,,,,,...,
11/08/2020 15:47:51,Receive,,7.33945000,ALGO,...,Coinbase - ALGO Wallet,,Payment,Received Algorand From Coinbase Earn,,,...,,,,,,,...,
11/08/2020 15:48:50,Receive,,7.33137900,ALGO,...,Coinbase - ALGO Wallet,,Payment,Received Algorand From Coinbase Earn,,,...,,,,,,,...,
11/08/2020 15:50:07,Receive,,7.33137900,ALGO,...,Coinbase - ALGO Wallet,,Payment,Received Algorand From Coinbase Earn,,,...,,,,,,,...,
11/08/2020 15:53:02,Receive,,0.03007821,COMP,...,Coinbase - COMP Wallet,,Payment,Received Compound From Coinbase Earn,,,...,,,,,,,...,
11/08/2020 15:54:00,Receive,,0.03020540,COMP,...,Coinbase - COMP Wallet,,Payment,Received Compound From Coinbase Earn,,,...,,,,,,,...,
11/08/2020 15:54:41,Receive,,0.03012654,COMP,...,Coinbase - COMP Wallet,,Payment,Received Compound From Coinbase Earn,,,...,,,,,,,...,
11/08/2020 16:09:46,Send,,,,...,,,,,0.09041015,COMP,...,Coinbase - COMP Wallet,0x1bB65E1E92974aB69aF6F705d218e7E57EF21330,,Sent Compound To Compound address,0.00372312,COMP,...,
11/10/2020 13:16:46,Receive,,0.00127887,ETH,...,Coinbase - ETH Wallet,,Mined,Received Ethereum From Ethereum address,,,...,,,,,,,...,
11/10/2020 14:54:19,Send,,,,...,,,,,22.00220800,ALGO,...,Coinbase - ALGO Wallet,,,Transferred Algorand To Coinbase Pro,,,...,
11/10/2020 16:33:01,Receive,,0.00372990,MKR,...,Coinbase - MKR Wallet,,Payment,Received Maker From Coinbase Earn,,,...,,,,,,,...,
11/10/2020 16:33:36,Receive,,0.00373355,MKR,...,Coinbase - MKR Wallet,,Payment,Received Maker From Coinbase Earn,,,...,,,,,,,...,
11/10/2020 16:34:20,Receive,,0.00373337,MKR,...,Coinbase - MKR Wallet,,Payment,Received Maker From Coinbase Earn,,,...,,,,,,,...,
